Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2022-152156,8/11/22,11/11/22,Second Class,CG-12520,Claire Gute,Consumer,Pakistan,Lahore,Punjab,54000,central-eastern,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.9136
2,CA-2022-152156,8/11/22,11/11/22,Second Class,CG-12520,Claire Gute,Consumer,Pakistan,Lahore,Punjab,54000,central-eastern,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582
3,CA-2022-138688,12/6/22,16/06/2022,Second Class,DV-13045,Darrin Van Huff,Corporate,Pakistan,Multan,Punjab,60000,central-eastern,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.8714
4,US-2021-108966,11/10/21,18/10/2021,Standard Class,SO-20335,Sean O'Donnell,Consumer,Pakistan,Bahawalpur,Punjab,63100,central-eastern,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031
5,US-2021-108966,11/10/21,18/10/2021,Standard Class,SO-20335,Sean O'Donnell,Consumer,Pakistan,Bahawalpur,Punjab,63100,central-eastern,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164
6,CA-2020-115812,9/6/20,14/06/2020,Standard Class,BH-11710,Brosina Hoffman,Consumer,Pakistan,Jhang,Punjab,35200,central-eastern,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.1694
7,CA-2020-115812,9/6/20,14/06/2020,Standard Class,BH-11710,Brosina Hoffman,Consumer,Pakistan,Jhang,Punjab,35200,central-eastern,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0,1.9656
8,CA-2020-115812,9/6/20,14/06/2020,Standard Class,BH-11710,Brosina Hoffman,Consumer,Pakistan,Jhang,Punjab,35200,central-eastern,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152
9,CA-2020-115812,9/6/20,14/06/2020,Standard Class,BH-11710,Brosina Hoffman,Consumer,Pakistan,Jhang,Punjab,35200,central-eastern,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825
10,CA-2020-115812,9/6/20,14/06/2020,Standard Class,BH-11710,Brosina Hoffman,Consumer,Pakistan,Jhang,Punjab,35200,central-eastern,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47
11,CA-2020-115812,9/6/20,14/06/2020,Standard Class,BH-11710,Brosina Hoffman,Consumer,Pakistan,Jhang,Punjab,35200,central-eastern,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092
12,CA-2020-115812,9/6/20,14/06/2020,Standard Class,BH-11710,Brosina Hoffman,Consumer,Pakistan,Jhang,Punjab,35200,central-eastern,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568
13,CA-2023-114412,15/04/2023,20/04/2023,Standard Class,AA-10480,Andrew Allen,Consumer,Pakistan,Lahore,Punjab,54000,central-eastern,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432
14,CA-2022-161389,5/12/22,10/12/22,Standard Class,IM-15070,Irene Maddox,Consumer,Pakistan,Karachi,Sindth,74000,southeastern,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922
15,US-2021-118983,22/11/2021,26/11/2021,Standard Class,HP-14815,Harold Pawlan,Home Office,Pakistan,Karachi,Sindth,74000,southeastern,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858
16,US-2021-118983,22/11/2021,26/11/2021,Standard Class,HP-14815,Harold Pawlan,Home Office,Pakistan,Karachi,Sindth,74000,southeastern,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816
17,CA-2020-105893,11/11/20,18/11/2020,Standard Class,PK-19075,Pete Kriz,Consumer,Pakistan,Karachi,Sindth,74000,southeastern,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.3176
18,CA-2020-167164,13/05/2020,15/05/2020,Second Class,AG-10270,Alejandro Grove,Consumer,Pakistan,Karachi,Sindth,74000,southeastern,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0,9.99
19,CA-2020-143336,27/08/2020,1/9/20,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,Pakistan,Karachi,Sindth,74000,southeastern,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0,2.4824
20,CA-2020-143336,27/08/2020,1/9/20,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,Pakistan,Karachi,Sindth,74000,southeastern,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011
21,CA-2020-143336,27/08/2020,1/9/20,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,Pakistan,Karachi,Sindth,74000,southeastern,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384
22,CA-2022-137330,9/12/22,13/12/2022,Standard Class,KB-16585,Ken Black,Corporate,Pakistan,Karachi,Sindth,74000,southeastern,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0,5.0596
23,CA-2022-137330,9/12/22,13/12/2022,Standard Class,KB-16585,Ken Black,Corporate,Pakistan,Karachi,Sindth,74000,southeastern,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884
24,US-2023-156909,16/07/2023,18/07/2023,Second Class,SF-20065,Sandra Flanagan,Consumer,Pakistan,Karachi,Sindth,74000,southeastern,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196
25,CA-2021-106320,25/09/2021,30/09/2021,Standard Class,EB-13870,Emily Burns,Consumer,Pakistan,Karachi,Sindth,74000,southeastern,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.2649
26,CA-2022-121755,16/01/2022,20/01/2022,Second Class,EH-13945,Eric Hoffmann,Consumer,Pakistan,Karachi,Sindth,74000,southeastern,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224
27,CA-2022-121755,16/01/2022,20/01/2022,Second Class,EH-13945,Eric Hoffmann,Consumer,Pakistan,Karachi,Sindth,74000,southeastern,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.7741
28,US-2021-150630,17/09/2021,21/09/2021,Standard Class,TB-21520,Tracy Blumstein,Consumer,Pakistan,Karachi,Sindth,74000,southeastern,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522
29,US-2021-150630,17/09/2021,21/09/2021,Standard Class,TB-21520,Tracy Blumstein,Consumer,Pakistan,Karachi,Sindth,74000,southeastern,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532
30,US-2021-150630,17/09/2021,21/09/2021,Standard Class,TB-21520,Tracy Blumstein,Consumer,Pakistan,Karachi,Sindth,74000,southeastern,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525
31,US-2021-150630,17/09/2021,21/09/2021,Standard Class,TB-21520,Tracy Blumstein,Consumer,Pakistan,Karachi,Sindth,74000,southeastern,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016
